pais,desarrollo_humano_porcentaje,pib_usd_per_capita,irradiancia_kwh/m2/day,coste_construccion_usd/kwh,consumo_kwh_per_capita,tarifa_luz_uscent/kwh,capacidad_instalada_wp_per_capita
Turks and Caicos Islands (U.K.),,27142.2277976902,5.5994,0.0898,,,10.619938935351122
Grenada,0.771948499181575,10833.6583303924,5.4136,0.0972,,27.6,21.533547472499865
Eswatini,0.588316354143471,4139.96194908385,4.8493,0.0989,,16.2,0.792120338921889
Republic of Korea,0.902561126409903,31362.75147294,3.9865,0.1011,10496.5136719641,8.5,152.25837168309963
Central African Republic,0.36680934465729,509.970974805014,5.6971,0.0952,,9.8,0.06428970483953611
Azerbaijan,0.756965427408013,4721.17808673142,4.0422,0.1116,2202.39391828846,5.4,3.6611121694362714
China,0.751703946831174,9770.84708783314,4.1265,0.0727,3927.04449998901,15.5,125.66534791380957
Myanmar,0.578263212736457,1325.95292370622,4.6943,0.1026,215.298895443599,8.3,1.0221865687850102
Cabo Verde,0.654030718428243,3654.00734457117,5.6364,0.0907,,28.9,13.792672229098125
Guam (U.S.),,35664.5016770046,5.5734,0.0938,,,209.93195309106704
Paraguay,0.701662434050934,5871.46706441738,5.0765,0.0993,1552.38421668465,6.5,0.0
New Zealand,0.916687629454361,41966.0091846374,3.5396,0.097,9026.32104131095,11.5,16.211237334970832
Dominica,0.715056593033423,7031.70975373279,4.9429,0.1077,,34.5,8.37696335078534
Mongolia,0.740816315447271,4103.69749259393,4.3193,0.0898,2006.38888095267,5.9,19.777882082185144
Somalia,,314.562363459147,6.0283,0.0897,,,0.4730761691277955
Comoros,0.503253554923297,1445.45080869998,5.0535,0.1001,,26.8,0.0
Malta,0.878186794658016,30074.7411850959,5.0071,0.093,4924.54401944044,17.0,263.27218580026056
Madagascar,0.51916252686803,460.752780832755,5.6252,0.0899,,15.7,1.2565508182658929
Brazil,0.759245369983666,8920.76210462979,5.2762,0.1189,2619.96061573831,16.3,10.961031703862828
Norway,0.952522019675818,81807.198038676,2.5833,0.1292,22999.9345951283,10.0,12.870845953285603
Lebanon,0.756695981617609,8269.78767551923,5.3556,0.0881,2588.30067018927,13.2,6.088546742736999
Morocco,0.666512569952404,3237.88336815666,5.5632,0.0851,904.442154848277,12.3,5.703716808323308
Angola,0.581178565460993,3432.38573600893,5.7467,0.0919,312.228824978484,4.6,0.43492708577236006
"Hong Kong, SAR",0.932582914433701,48717.2912142538,3.905,0.1301,6083.2699356802,15.4,0.0
Cayman Islands (U.K.),,56334.2139924148,5.5632,0.0919,,,154.26808364758313
North Macedonia,0.756687188111335,6083.71894832148,4.0494,0.1095,3496.52873867478,12.8,9.889781743078833
Palau,0.798478437520455,17317.872619646,4.9776,0.1063,,31.1,72.59730831518401
Islamic Republic of Iran,0.79805734320084,5627.74926845456,5.5238,0.0868,3022.12256298599,5.3,3.501210980125261
Nepal,0.574038025034974,1025.79835586617,4.5344,0.1064,146.467864816665,11.4,1.8976162344237482
Côte d'Ivoire,0.492304502118357,1715.53123817013,5.0545,0.1066,274.730090490935,11.8,0.3310831777076192
Luxembourg,0.903938860890113,114340.498741773,3.0173,0.1202,13914.6784488756,10.6,220.4933786167496
Fiji,0.740787954969557,6202.16226706496,4.3159,0.1123,,20.3,10.75289507551362
Belarus,0.807529595527673,6289.93855308212,2.9377,0.1446,3679.9788400689,11.7,16.26712924492477
Panama,0.789320299890748,15575.0725482915,4.7445,0.1077,2064.17579713507,18.8,35.12196803685436
British Virgin Islands (U.K.),,,5.756,0.0877,,,6.710958996040534
Switzerland,0.943997570278117,82838.9294445761,3.3567,0.106,7520.16602494502,12.3,263.7220289969768
Austria,0.9077551793932,51512.9054751534,3.2138,0.1094,8355.84195182134,9.8,161.7490692081428
Vanuatu,0.60257391539552,3033.40814644607,4.3046,0.1245,,43.6,9.22509225092251
